unit_code,timestamp,power,emissions
BW04,2026-05-01 01:40:00+10:00,515.4986,38.1121
ADPBA1,2026-05-01 01:45:00+10:00,0.001,0.0
ADPBA1G,2026-05-01 01:45:00+10:00,0.001,0.0
ADPPV1,2026-05-01 01:45:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:45:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:45:00+10:00,119.6,0.0
BARCALDN,2026-05-01 01:45:00+10:00,0.0,0.0
BDL01,2026-05-01 01:45:00+10:00,0.0,0.0
BDL02,2026-05-01 01:45:00+10:00,0.0,0.0
BW01,2026-05-01 01:45:00+10:00,498.7503,37.2665
BW02,2026-05-01 01:45:00+10:00,508.8823,38.0413
BW03,2026-05-01 01:45:00+10:00,404.6326,30.6305
BW04,2026-05-01 01:45:00+10:00,509.688,38.0985
ADPBA1,2026-05-01 01:50:00+10:00,-0.01,0.0
ADPBA1L,2026-05-01 01:50:00+10:00,0.01,0.0
ADPPV1,2026-05-01 01:50:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:50:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:50:00+10:00,121.3,0.0
BARCALDN,2026-05-01 01:50:00+10:00,0.0,0.0
BDL01,2026-05-01 01:50:00+10:00,0.0,0.0
BDL02,2026-05-01 01:50:00+10:00,0.0,0.0
BW01,2026-05-01 01:50:00+10:00,495.967,36.9662
BW02,2026-05-01 01:50:00+10:00,507.5151,37.7719
BW03,2026-05-01 01:50:00+10:00,388.3482,29.4692
BW04,2026-05-01 01:50:00+10:00,508.4672,37.8372
ADPBA1,2026-05-01 01:55:00+10:00,0.104,0.0
ADPBA1G,2026-05-01 01:55:00+10:00,0.104,0.0
ADPPV1,2026-05-01 01:55:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:55:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:55:00+10:00,117.0,0.0
BARCALDN,2026-05-01 01:55:00+10:00,0.0,0.0
BDL01,2026-05-01 01:55:00+10:00,0.0,0.0
BDL02,2026-05-01 01:55:00+10:00,0.0,0.0
BW01,2026-05-01 01:55:00+10:00,503.8529,37.1558
BW02,2026-05-01 01:55:00+10:00,513.0327,37.9261
BW03,2026-05-01 01:55:00+10:00,382.6352,28.6517
BW04,2026-05-01 01:55:00+10:00,512.6421,37.947
ADPBA1,2026-05-01 02:00:00+10:00,0.027,0.0
ADPBA1G,2026-05-01 02:00:00+10:00,0.027,0.0
ADPPV1,2026-05-01 02:00:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:00:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:00:00+10:00,115.0,0.0
BARCALDN,2026-05-01 02:00:00+10:00,0.0,0.0
BDL01,2026-05-01 02:00:00+10:00,0.0,0.0
BDL02,2026-05-01 02:00:00+10:00,0.0,0.0
BW01,2026-05-01 02:00:00+10:00,497.7737,37.2229
BW02,2026-05-01 02:00:00+10:00,510.0297,38.0196
BW03,2026-05-01 02:00:00+10:00,379.0463,28.306
BW04,2026-05-01 02:00:00+10:00,509.1508,37.9724
ADPBA1,2026-05-01 02:05:00+10:00,0.084,0.0
ADPBA1G,2026-05-01 02:05:00+10:00,0.084,0.0
ADPPV1,2026-05-01 02:05:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:05:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:05:00+10:00,114.2,0.0
BARCALDN,2026-05-01 02:05:00+10:00,0.0,0.0
BDL01,2026-05-01 02:05:00+10:00,0.0,0.0
BDL02,2026-05-01 02:05:00+10:00,0.0,0.0
BW01,2026-05-01 02:05:00+10:00,502.1927,37.1613
BW02,2026-05-01 02:05:00+10:00,513.6675,38.0432
